ORF	Gene	Class	Deletion.Mean	Deletion.N	WT.mean	WT.N
YDR284C	DPP1	NSE	31.7	20	25.9	55
YDR285W	ZIP1	NLL	22.6	5	29	5
YDR286C		NSE	28	20	26.9	35
YDR287W		SL*	10	5	29	5
YDR289C	RTT103	NLL	24.3	15	29.1	20
YDR291W		SL	18.6	5	29	5
YDR293C	SSD1	NLL	24.8	5	29	5
YDR294C	DPL1	NLL	23.8	15	27.3	15
YDR295C	HDA2	NSE	31.9	20	26.9	35
YDR296W	MHR1	NLL	23	5	29	5
YDR297W	SUR2	NLL	23	5	29	5
YDR298C	ATP5	SL	16.8	5	29	5
YDR300C	PRO1	NSE	28.8	20	26.9	35
YDR304C	CPR5	NLL	25.6	5	29	5
YDR305C	HNT2	NLL	23	5	29	5
YDR306C		NSE	27.8	20	26.9	35
YDR307W		LL**	35.1	20	26.9	35
YDR309C	GIC2	NLL	24	5	29	5
YDR310C	SUM1	NLL	23.7	10	27.4	10
YDR312W	SSF2	NLL	22.3	10	27.4	10
YDR313C	PIB1	LL*	38.8	15	29.4	15
YDR314C		NSE	35.9	15	29.4	15
YDR315C	IPK1	LL**	36.6	20	25.9	55
YDR316W		SL	16.8	5	29	5
YDR317W		NSE	28.1	20	26.9	35
YDR318W	MCM21	NSE	28.8	20	26.9	35
YDR319C		NSE	30.7	20	26.9	35
YDR320C	SWA2	NSE	26.2	15	29.1	20
YDR321W	ASP1	NSE	31.5	20	26.9	35
YDR322W	MRPL35	NLL	22.4	5	29	5
YDR323C	PEP7	NLL	24.5	10	27.4	10
YDR326C		NSE	31.3	15	26.2	20
YDR329C	PEX3	NLL	22.8	5	29	5
YDR330W		NLL	25.4	5	29	5
YDR333C		SL	19.2	5	29	5
YDR334W		NSE	28.3	20	26.4	20
YDR335W	MSN5	NSE	29.1	15	29.4	15
YDR336W		NSE	29.2	15	27.3	15
YDR337W	MRPS28	NSE	34.3	15	29.4	15
YDR417C		NLL	23.5	10	27	10
YDR444W		SL	17.8	5	28.2	5
YDR461W	MFA1	NLL	25.3	15	26.7	15
YDR477W	SNF1	LL	36.5	15	26.8	15
YDR493W	FMP36	NLL	23.3	15	26.2	20
YDR500C	RPL37B	NSE	29.2	15	26.8	20
YDR502C	SAM2	NLL	23.2	10	27	10
YDR506C		NSE	28.7	15	26.2	20
YDR512C	EMI1	NLL	25.8	15	26.2	20
YDR515W	SLF1	NSE	26.6	15	26.7	15
YER040W	GLN3	SL*	20.4	40	24.4	40
YER089C	PTC2	NLL	24.7	10	27	10
YER170W	ADK2	NLL	23.6	5	28.2	5
YER173W	RAD24	NLL	21.6	5	28.2	5
YER174C	GRX4	NLL	25.6	5	28.2	5
YER175C	TMT1	NSE	27.4	20	25	30
YER176W	ECM32	NSE	30.8	15	26.2	20
YER177W	BMH1	NLL	21.8	5	28.2	5
YER178W	PDA1	SL*	12.4	5	28.2	5
YER179W	DMC1	NLL	26	10	27	10
YER180C	ISC10	NLL	22.2	10	27	10
YER181C		NSE	29.1	20	24.7	50
YER182W	FMP10	NLL	24.9	15	26.7	15
YER183C	FAU1	NSE	26.5	15	26.7	15
YER184C		NLL	24.6	5	28.2	5
YER185W		NSE	27.1	15	26.7	15
YER186C		LL*	31.3	20	24.7	50
YER187W		LL*	36.2	20	26.2	20
YFL001W	DEG1	NLL	23.6	10	27	10
YFL021W	GAT1	NSE	26.3	20	24.4	40
YGL199C		SL	17.2	5	28.8	5
YGL214W		NSE	29.7	15	26.3	20
YGL217C		NSE	26.8	15	26.3	20
YGL235W		NSE	30.7	15	26.3	20
YGR011W		NSE	29	15	26.3	20
YGR018C		NLL	20.8	5	28.8	5
YGR022C		SL	19.4	5	28.8	5
YGR054W		NLL	23.7	10	29.3	10
YGR055W	MUP1	NLL	24.3	15	27	25
YGR056W	RSC1	NSE	28	25	25.3	25
YGR057C	LST7	SL	18.4	5	32.8	5
YGR058W		SL	19.8	5	32.8	5
YGR059W	SPR3	NSE	28.8	25	25.3	25
YGR061C	ADE6	NSE	26.1	15	28.6	15
YGR064W		NSE	26.7	15	28.6	15
YGR066C		NLL	26	15	25.6	55
YGR067C		NSE	27.2	15	27	25
YGR068C		NSE	26.6	25	25.3	25
YGR069W		NSE	27.8	25	25.3	25
YGR070W	ROM1	NLL	25.9	15	25.6	55
YGR071C		SL*	13.8	5	32.8	5
YGR072W	UPF3	NLL	25	5	32.8	5
YGR077C	PEX8	SL	19.6	5	32.8	5
YGR078C	PAC10	NSE	26.7	15	27	25
YGR079W		NLL	22.6	10	29.3	10
YGR080W	TWF1	SL	17.4	5	32.8	5
YGR081C	SLX9	NLL	22.2	10	29.3	10
YGR084C	MRP13	NLL	24.6	5	32.8	5
YGR085C	RPL11B	NLL	22	5	32.8	5
YGR087C	PDC6	NLL	23.8	5	32.8	5
YGR088W	CTT1	NLL	25.5	15	28.6	15
YGR096W	TPC1	NLL	22.7	15	28.6	15
YGR097W	ASK10	NLL	23.7	10	29.3	10
YGR100W	MDR1	NLL	23.8	5	32.8	5
YGR101W	PCP1	SL	16.8	5	32.8	5
YGR104C	SRB5	NLL	22.2	5	32.8	5
YGR105W	VMA21	SL*	12	5	32.8	5
YGR107W		NSE	29.8	25	25.3	25
YGR108W	CLB1	NLL	25.1	15	28.6	15
YGR109C	CLB6	NLL	24.9	15	28.6	15
YGR111W		NLL	22.2	5	32.8	5
YGR112W	SHY1	SL	14.8	5	32.8	5
YGR118W	RPS23A	NSE	31	25	25.3	25
YGR121C	MEP1	NLL	24.3	10	29.3	10
YGR122W		NLL	23.9	10	29.3	10
YHR014W	SPO13	NLL	25.2	15	25	25
YHR015W	MIP6	NLL	20.8	5	22.4	5
YHR018C	ARG4	NSE	27.3	15	25.1	15
YHR021C	RPS27B	NLL	21.3	15	25.1	15
YHR022C		NLL	21.8	5	22.4	5
YHR028C	DAP2	NLL	22	5	22.4	5
YHR029C		NLL	21	5	22.4	5
YHR030C	SLT2	NLL	24.2	5	22.4	5
YHR031C	RRM3	SL	17.8	5	22.4	5
YHR033W		NLL	23.8	5	22.4	5
YHR034C	PIH1(YHR034W)	SL	19.2	5	22.4	5
YHR035W		NLL	22	5	22.4	5
YHR037W	PUT2	NLL	22	5	22.4	5
YHR038W	RRF1	NLL	23.8	5	22.4	5
YHR039C	MSC7	SL	18.6	5	22.4	5
YHR043C	DOG2	SL	19.8	5	22.4	5
YHR044C	DOG1	NLL	25.8	15	25	25
YHR046C	INM1	LL**	36.1	20	23.2	25
YHR047C	AAP1'	SL	15.8	5	22.4	5
YHR048W		NLL	23.6	5	22.4	5
YHR049C-A		NLL	24.4	5	22.4	5
YHR049W		NLL	23.8	5	22.4	5
YHR050W	SMF2	NLL	23.9	15	25.1	15
YHR057C	CPR2	NLL	24	5	22.4	5
YHR060W	VMA22	SL	12.6	5	22.4	5
YHR061C	GIC1	NLL	24.4	5	22.4	5
YHR066W	SSF1	LL**	38.5	20	24.6	65
YHR073W	OSH3	NLL	24.3	15	25	25
YHR075C	PPE1	NLL	25.7	15	25	25
YHR076W	PTC7	NLL	24	5	22.4	5
YHR077C	NMD2	NLL	24	5	22.4	5
YHR078W		NLL	21	5	22.4	5
YHR079C	IRE1	NLL	25.3	15	25.1	15
YHR080C		NLL	23.8	5	22.4	5
YHR081W	LRP1	NLL	24.4	5	22.4	5
YHR082C	KSP1	NSE	27.7	15	25	25
YHR086W	NAM8	NLL	23.8	5	22.4	5
YHR087W		NLL	23.1	15	25	25
YHR092C	HXT4	NLL	21.4	5	22.4	5
YHR093W	AHT1	NSE	28.4	15	25	25
YHR094C	HXT1	SL	17.4	5	22.4	5
YHR095W		SL	16.8	5	22.4	5
YHR096C		NSE	26.5	15	25	25
YHR097C		NSE	26.8	15	25	25
YHR100C		SL	15	5	22.4	5
YHR103W	SBE22	NLL	24.4	15	25	25
YHR104W	GRE3	SL	18.6	5	22.4	5
YHR105W	YPT35	NSE	28.8	25	24.6	65
YHR106W	TRR2	NLL	25.9	15	25.1	15
YHR108W	GGA2	NSE	26.6	15	25	25
YHR109W	CTM1	NLL	22	5	22.4	5
YHR110W	ERP5	SL	15.6	5	22.4	5
YHR111W	UBA4	SL	20	5	22.4	5
YHR112C		NLL	24.6	5	22.4	5
YHR113W		NSE	28.6	20	24.6	65
YHR114W	BZZ1	NLL	20.8	5	22.4	5
YHR115C		NLL	20.2	5	22.4	5
YHR116W		SL*	10	5	22.4	5
YHR117W	TOM71	NLL	24.6	5	22.4	5
YHR121W		NLL	24.4	5	22.4	5
YHR123W	EPT1	NLL	24.4	15	25	25
YHR124W	NDT80	NLL	24.2	5	22.4	5
YHR125W		NLL	20.6	5	22.4	5
YHR126C		SL	20	15	25.1	15
YHR129C	ARP1	SL	19.2	5	22.4	5
YHR130C		LL**	34.2	20	23.4	25
YHR132C	ECM14	NLL	22.2	5	22.4	5
YHR133C	NSG1	NLL	24.6	5	22.4	5
YHR134W	WSS1	SL	14.2	5	22.4	5
YHR135C	YCK1	NLL	23.4	5	22.4	5
YHR136C	SPL2	SL	15.6	5	22.4	5
YHR137W	ARO9	SL	20	5	22.4	5
YHR138C		NSE	26.7	15	25.1	15
YHR139C	SPS100	NSE	27.5	15	25	25
YHR139C-A		NSE	27.5	15	25	25
YHR142W	CHS7	SL	18	5	22.4	5
YHR143W	DSE2	SL	15.4	5	22.4	5
YHR151C		NSE	28.9	20	23.4	25
YHR152W	SPO12	NLL	24.2	5	22.4	5
YHR153C	SPO16	SL	17	5	22.4	5
YHR154W	RTT107	SL*	18.3	15	25	25
YHR155W		SL	19.4	5	22.4	5
YHR156C	LIN1	LL*	34.5	15	25	25
YHR157W	REC104	NSE	26.9	15	25	25
YHR158C	KEL1	NSE	26.8	15	25	25
YHR159W		NLL	22	5	22.4	5
YHR160C	PEX18	NLL	22.6	5	22.4	5
YHR161C	YAP1801	NLL	25.7	15	25	25
YHR163W	SOL3	NSE	28.9	15	25	25
YHR167W	THP2	SL	19	5	22.4	5
YHR178W	STB5	NLL	20.2	5	22.4	5
YHR179W	OYE2	SL	18.2	5	22.4	5
YHR182W		SL	17.2	5	22.4	5
YHR183W	GND1	NLL	24.2	5	22.4	5
YIL001W		NSE	33.7	15	27.3	15
YIL002C	INP51	NSE	29.7	15	27.3	15
YIL005W	EPS1	NLL	24.4	5	29	5
YIL056W		NLL	22.6	5	28.2	5
YIL085C	KTR7	NSE	26.3	15	26.7	15
YIL094C	LYS12	LL*	34	20	25.1	55
YIL102C		NLL	25.7	15	26.7	15
YIL111W	COX5B	NSE	26.9	15	26.7	15
YIL122W	POG1	NLL	22.3	10	27	10
YIL131C	FKH1	NSE	31.1	15	26.8	20
YIL136W	OM45	LL	34.5	20	26.2	20
YIL158W		NSE	26.5	15	26.2	20
YIR004W	DJP1	NSE	30	20	24.7	50
YJR034W	PET191	NLL	25.1	10	27	10
YJR039W		NLL	25.6	5	28.2	5
YJR044C	VPS55	NLL	25.1	15	26.7	15
YJR066W	TOR1	LL*	29.5	65	25.4	65
YKR045C		NSE	29.1	15	28.6	25
YKR047W		NLL	23.2	5	29	5
YKR048C	NAP1	NSE	27.6	15	27.3	15
YKR049C	FMP46	NSE	26.2	15	28.6	25
YKR050W	TRK2	SL	16.6	5	29	5
YKR051W		NLL	25.4	5	29	5
YKR052C	MRS4	SL	19.6	5	29	5
YKR054C	DYN1	NLL	24.6	10	27.4	10
YKR056W	TRM2	NLL	22.8	10	27.4	10
YKR057W	RPS21A	LL*	31.6	20	25.9	55
YKR058W	GLG1	NLL	25.8	5	29	5
YKR059W	TIF1	LL**	31.9	25	25.7	35
YKR060W	UTP30	NLL	20.6	5	29	5
YKR061W	KTR2	SL	15.4	5	29	5
YKR064W		NLL	26	15	28.6	25
YKR065C	FMP18	SL	18.8	5	29	5
YKR087C		SL*	9.2	5	28.8	5
YKR088C	TVP38	NLL	24.4	5	28.8	5
YKR089C		NLL	25.7	15	26.3	20
YKR090W	PXL1	NLL	23.2	5	28.8	5
YKR091W	SRL3	SL	18.4	5	28.8	5
YKR092C	SRP40	SL	16.2	5	28.8	5
YKR093W	PTR2	NLL	23.2	5	28.8	5
YKR097W	PCK1	NLL	20.2	5	28.8	5
YKR098C	UBP11	NLL	21.6	5	28.8	5
YKR099W	BAS1	LL**	36.6	20	26.3	20
YKR100C		NLL	20.8	5	28.8	5
YKR101W	SIR1	SL	19.4	5	28.8	5
YKR103W	NFT1	NLL	21.2	5	28.8	5
YKR104W	NFT1	NLL	22.4	5	28.8	5
YKR105C		LL	29.3	20	24.8	50
YLL018C-A	COX19	SL	17.4	5	28.8	5
YLR262C-A		NSE	27.3	15	26.3	20
YLR344W	RPL26A	NSE	29.1	15	26.8	20
YLR345W		NLL	22.4	10	27	10
YLR348C	DIC1	NLL	25.5	10	27	10
YLR349W		NSE	29.7	15	26.2	20
YLR350W	ORM2	NLL	22.6	5	28.2	5
YLR351C	NIT3	NSE	27.8	15	26.7	15
YLR352W		NLL	25.7	20	24.7	50
YLR353W	BUD8	NSE	32.5	20	24.7	50
YLR354C	TAL1	NSE	29	20	24.7	50
YLR356W		NLL	21.8	5	28.2	5
YLR357W	RSC2	SL	17.6	5	28.2	5
YLR360W	VPS38	NSE	31.9	15	26.2	20
YLR362W	STE11	SL	16	5	28.2	5
YLR363C	NMD4	LL	30.2	20	24.7	50
YLR364W		NSE	27.8	15	26.2	20
YLR365W		NLL	25	10	27	10
YLR366W		NSE	30.2	20	26.2	25
YLR367W	RPS22B	LL	30.2	20	24.7	50
YLR368W	MDM30	NSE	26.9	15	25.9	15
YLR371W	ROM2	LL**	40.7	15	27.1	15
YLR372W	SUR4	NLL	25.2	10	27	10
YLR373C	VID22	SL*	12	5	28.2	5
YLR374C		SL	16	5	28.2	5
YLR375W	STP3	NSE	26.8	15	26.2	20
YLR376C	PSY3	NLL	23.3	10	27	10
YLR377C	FBP1	NSE	28.3	20	24.7	50
YLR380W	CSR1	NLL	23.8	10	27	10
YLR381W	CTF3	NLL	25.2	5	28.2	5
YLR384C	IKI3	NLL	20.2	5	28.2	5
YLR385C		NSE	26.9	15	26.2	20
YLR386W	VAC14	SL	17.8	5	28.2	5
YLR387C		NSE	29	15	26.2	20
YLR388W	RPS29A	SL	19.4	5	28.2	5
YLR389C	STE23	NLL	25.5	10	27	10
YLR390W	ECM19	NLL	25.5	15	26.7	15
YLR422W		LL	32.6	20	26.3	20
YLR423C	ATG17	SL	18.4	5	28.8	5
YLR425W	TUS1	SL	17.6	5	28.8	5
YLR426W		SL	13.2	5	28.8	5
YLR427W	MAG2	NLL	23.8	5	28.8	5
YLR428C		NSE	27.5	15	26.3	20
YLR429W	CRN1	NSE	28.3	15	27.3	15
YLR431C	ATG23	NSE	27	15	26.3	20
YLR432W	IMD3	NSE	26.1	15	26.3	20
YLR433C	CNA1	NLL	25.3	15	26.3	20
YLR434C		NLL	22.8	5	28.8	5
YLR436C	ECM30	NSE	29.1	15	26.3	20
YLR437C		NLL	22.3	15	26.3	20
YLR438W	CAR2	SL	16.4	5	28.8	5
YLR441C	RPS1A	LL*	35.2	20	26.3	20
YLR443W	ECM7	SL	13	5	28.8	5
YLR444C		NLL	23.5	15	26.3	20
YLR445W		SL*	13	5	28.8	5
YLR446W		NLL	24.2	5	28.8	5
YLR447C	VMA6	SL*	12	5	28.8	5
YLR448W	RPL6B	LL*	30.7	30	24.7	70
YLR449W	FPR4	NLL	20.6	5	28.8	5
YLR450W	HMG2	SL	19	5	28.8	5
YLR452C	SST2	LL	31	25	25.7	25
YLR453C	RIF2	NLL	24.3	15	26.3	20
YLR454W	FMP27	NLL	24.9	15	26.3	20
YLR456W		NLL	21.6	5	28.8	5
YLR460C		NLL	20.3	15	26.3	20
YLR461W	PAU4	NSE	29.5	15	26.3	20
YML009C	MRPL39	NLL	21.9	15	26.3	20
YML009C-A		NLL	25.7	20	26.3	20
YML021C	UNG1	SL	15.8	5	28.8	5
YML081C-A	ATP18	SL**	7.6	5	28.8	5
YMR052C-A		NLL	25.8	15	26.2	20
YMR052W	FAR3	NLL	25.8	10	27	10
YMR053C	STB2	LL	37.5	15	26.8	15
YMR054W	STV1	NLL	25	15	26.7	15
YMR055C	BUB2	NLL	24.1	10	27	10
YMR056C	AAC1	NSE	28.2	20	24.7	50
YMR057C		NSE	29.7	20	24.7	50
YMR058W	FET3	NLL	21.8	5	28.2	5
YMR060C	TOM37	SL	17.2	5	28.8	5
YMR158C-B		SL	19.6	5	28.8	5
YMR169C	ALD3	NLL	23.6	5	28.8	5
YMR174C	PAI3	NSE	28.8	15	26.3	20
YMR175W	SIP18	SL**	16.5	10	27.3	15
YMR194C-A		NLL	21.4	5	28.8	5
YMR326C		SL	15.6	5	28.8	5
YNL229C	URE2	LL**	32	20	24.4	40
YNR032C-A	HUB1	NLL	23.6	5	28.8	5
YNR050C	LYS9	LL*	31.2	20	24.8	50
YNR051C	BRE5	LL*	31.9	20	24.8	50
YNR056C	BIO5	NLL	20.8	5	28.8	5
YNR057C	BIO4	NLL	21.8	5	28.8	5
YNR058W	BIO3	NSE	29.9	20	24.8	50
YNR059W	MNT4	NLL	23.8	5	28.8	5
YNR060W	FRE4	NLL	22.2	5	28.8	5
YNR061C		NSE	28	15	26.3	20
YNR062C		NLL	25.7	15	26.3	20
YNR063W		NLL	22.4	5	28.8	5
YNR064C		SL	18.2	5	28.8	5
YNR065C	YSN1	NLL	24.8	5	28.8	5
YNR066C		SL*	14	5	28.8	5
YNR067C	DSE4	NSE	26.5	15	26.3	20
YNR068C		SL	12.4	5	28.8	5
YOR008C-A		NSE	27.4	15	26.3	20
YOR097C		NSE	30.6	25	25.3	25
YOR099W	KTR1	NLL	23.5	10	29.3	10
YOR100C	CRC1	LL*	31.6	25	25.3	25
YOR101W	RAS1	LL*	34.9	20	27.4	35
YOR104W	PIN2	NLL	23.6	5	32.8	5
YOR105W		NLL	25.3	25	25.3	25
YOR106W	VAM3	SL*	14.4	5	32.8	5
YOR107W	RGS2	LL**	34.2	25	25.3	25
YOR108W	LEU9	NSE	27.3	15	27	25
YOR109W	INP53	LL**	32	45	24.5	45
YOR111W		NSE	28.9	20	25.4	65
YOR112W		NLL	25.8	25	25.3	25
YOR113W	AZF1	NSE	28.3	15	28.6	15
YOR114W		NLL	25.8	5	32.8	5
YOR115C	TRS33	NLL	25.3	10	29.3	10
YOR118W		NSE	27.9	15	25.6	55
YOR120W	GCY1	NSE	26.5	15	25.1	20
YOR121C		NLL	21.2	5	32.8	5
YOR123C	LEO1	NSE	26.7	15	27	25
YOR124C	UBP2	NSE	28.5	15	27	25
YOR126C	IAH1	NLL	24.2	5	32.8	5
YOR129C		SL	18	5	32.8	5
YOR130C	ORT1	NSE	27.7	15	28.6	15
YOR131C		NLL	23.7	10	29.3	10
YOR132W	VPS17	NLL	25.8	5	32.8	5
YOR133W	EFT1	NLL	24.2	5	32.8	5
YOR134W	BAG7	NSE	30.3	20	25.4	65
YOR135C		LL	31	20	25.4	65
YOR136W	IDH2	LL**	34.6	20	26.3	55
YOR137C	SIA1	NSE	29.5	15	28.6	15
YOR138C	RUP1	NLL	21.8	5	32.8	5
YOR139C		NLL	25.6	10	29.3	10
YOR140W	SFL1	NLL	24.7	15	28.6	15
YOR142W	LSC1	NLL	23.9	10	29.3	10
YOR144C	ELG1	NLL	25	5	32.8	5
YOR152C		NLL	21.8	5	32.8	5
YOR153W	PDR5	NLL	23.1	10	29.3	10
YOR154W		NLL	25.6	5	32.8	5
YOR156C	NFI1	NLL	23.1	10	29.3	10
YOR161C		NLL	22.9	10	29.3	10
YOR162C	YRR1	NSE	28.7	15	29.4	25
YOR163W	DDP1	NSE	27.8	25	25.3	25
YOR164C		NLL	22.6	5	32.8	5
YOR165W	SEY1	SL	16.6	5	32.8	5
YOR166C		NSE	32.5	15	28.6	15
YOR167C	RPS28A	NSE	28.8	25	25.3	25
YOR170W		NLL	23.3	10	29.3	10
YOR171C	LCB4	NSE	29.9	20	25.4	65
YOR172W	YRM1	NSE	29.8	15	28.6	15
YOR173W	DCS2	NLL	22.8	10	29.3	10
YOR175C		NLL	22.9	10	29.3	10
YOR177C	MPC54	NSE	31.5	15	28.6	15
YOR178C	GAC1	NLL	23.3	10	29.3	29.3
YOR179C	SYC1	NSE	28.5	15	28.6	28.6
YOR180C	DCI1	NSE	29.4	15	28.6	28.6
YOR182C	RPS30B	NLL	22.4	5	32.8	32.8
